TIMESTAMP,RECORD,AirTC_Avg,RH,T107_C,T107_C_2,WP_kPa,WP_kPa_2,VW_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrkW_Avg,SlrMJ_Tot,NR_Wm2_Avg,CNR_Wm2_Avg,Rain_mm_Tot,BP_mbar_Avg
2016-06-19,7007.5,16.346,81.417,-109.516,-125.109,-3.6919999999999997,-3.697,,0.722,209.92,70.577,0.145,1.304,79.535,79.535,0.0,1013.7189999999999
2016-06-20,7103.5,17.093,85.897,-108.611,-108.625,-3.694,-3.694,,1.247,247.226,58.391000000000005,0.153,1.38,68.89,68.917,0.0,1004.7919999999999
2016-06-21,7199.5,17.704,72.67399999999999,-104.94,-105.00200000000001,-3.693,-3.695,,0.58,217.127,66.383,0.24600000000000002,2.2119999999999997,146.733,146.733,0.0,1008.9169999999999
2016-06-22,7295.5,18.225,81.12899999999999,-109.12299999999999,-118.195,-3.695,-3.695,,0.47100000000000003,135.489,72.797,0.163,1.4709999999999999,93.76100000000001,93.76100000000001,0.0,1010.8330000000001
2016-06-23,7391.5,18.899,83.40299999999999,-105.891,-110.649,-3.693,-3.6919999999999997,,0.7759999999999999,247.239,43.702,0.115,1.0390000000000001,66.86399999999999,66.86399999999999,0.0,1009.2189999999999
2016-06-24,7487.5,16.41,75.498,-103.99,-108.685,-3.697,-3.696,,0.8640000000000001,238.655,58.294,0.20600000000000002,1.8519999999999999,98.12799999999999,98.12799999999999,0.0,1009.1560000000001
2016-06-25,7583.5,14.302,83.35,-106.75299999999999,-111.85600000000001,-3.695,-3.6919999999999997,,0.907,257.527,40.194,0.179,1.608,67.404,67.404,0.0,1009.51
2016-06-26,7679.5,14.854000000000001,84.569,-106.24,-119.24799999999999,-3.694,-3.697,,1.653,273.428,42.413000000000004,0.16899999999999998,1.521,93.699,93.704,0.0,1009.448
2016-06-27,7775.5,15.948,72.47800000000001,-105.616,-110.368,-3.698,-3.701,,1.8969999999999998,283.996,34.57,0.212,1.9080000000000001,109.88,109.95200000000001,0.0,1009.8439999999999
2016-06-28,7871.5,14.352,80.067,-104.287,-110.569,-3.696,-3.698,,0.54,171.484,67.625,0.135,1.215,60.732,60.732,0.0,1006.3439999999999
2016-06-29,7967.5,13.270999999999999,92.476,-104.926,-111.56200000000001,,,,0.934,209.50099999999998,68.455,0.096,0.861,15.797,15.797,0.0,998.375
2016-06-30,8063.5,15.550999999999998,79.898,-105.79799999999999,-116.66799999999999,-3.695,-3.694,,0.79,230.209,71.74,0.16899999999999998,1.5230000000000001,85.39399999999999,85.39399999999999,0.0,1000.0419999999999
